id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25516,268185,2340847,2.0,,9999,1 fl oz,30000,31.0
25517,268186,2340847,3.0,,9999,Quantity not specified,90000,248.0
25518,268187,2340847,5.0,,9999,1 individual school container,64294,248.0
25519,268188,2340848,1.0,,9999,1 cup,10205,248.0
25520,268189,2340848,2.0,,9999,1 fl oz,30000,31.0
25521,268190,2340848,3.0,,9999,Quantity not specified,90000,248.0
25522,268191,2340848,5.0,,9999,1 individual school container,64294,248.0
25523,268192,2340849,1.0,,9999,1 cup,10205,248.0
25524,268193,2340849,2.0,,9999,1 fl oz,30000,31.0
25525,268194,2340849,3.0,,9999,Quantity not specified,90000,248.0
25526,268195,2340849,5.0,,9999,1 individual school container,64294,248.0
25527,268196,2340850,1.0,,9999,1 fl oz,30000,31.0
25528,268197,2340850,2.0,,9999,1 cup,10205,248.0
25529,268198,2340850,3.0,,9999,1 individual school container,64294,248.0
25530,268199,2340850,4.0,,9999,Quantity not specified,90000,248.0
25531,268200,2340851,1.0,,9999,1 cup,10205,248.0
25532,268201,2340851,2.0,,9999,1 fl oz,30000,31.0
25533,268202,2340851,3.0,,9999,1 individual school container,64294,248.0
25534,268203,2340851,4.0,,9999,Quantity not specified,90000,248.0
25535,268204,2340852,1.0,,9999,1 cup,10205,248.0
25536,268205,2340852,2.0,,9999,1 fl oz,30000,31.0
